successor_edge_id	event_id	correction_id	predecessor_claim_id	successor_position	relation	successor_claim_id
SE-TASAKI2020-0001	CORPUS-NORMALIZATION-TASAKI2020-2026	CC-TASAKI2020-0001	CL-TASAKI2020-0287	1	new_successor	CL-TASAKI2020-3430
SE-TASAKI2020-0002	CORPUS-NORMALIZATION-TASAKI2020-2026	CC-TASAKI2020-0001	CL-TASAKI2020-0287	2	new_successor	CL-TASAKI2020-3431
SE-TASAKI2020-0003	CORPUS-NORMALIZATION-TASAKI2020-2026	CC-TASAKI2020-0002	CL-TASAKI2020-0352	1	new_successor	CL-TASAKI2020-3432
SE-TASAKI2020-0004	CORPUS-NORMALIZATION-TASAKI2020-2026	CC-TASAKI2020-0002	CL-TASAKI2020-0352	2	existing_duplicate	CL-TASAKI2020-0349
SE-TASAKI2020-0005	CORPUS-NORMALIZATION-TASAKI2020-2026	CC-TASAKI2020-0002	CL-TASAKI2020-0352	3	new_successor	CL-TASAKI2020-3433
SE-TASAKI2020-0006	CORPUS-NORMALIZATION-TASAKI2020-2026	CC-TASAKI2020-0002	CL-TASAKI2020-0352	4	new_successor	CL-TASAKI2020-3434
SE-TASAKI2020-0007	CORPUS-NORMALIZATION-TASAKI2020-2026	CC-TASAKI2020-0002	CL-TASAKI2020-0352	5	existing_duplicate	CL-TASAKI2020-0355
SE-TASAKI2020-0008	CORPUS-NORMALIZATION-TASAKI2020-2026	CC-TASAKI2020-0010	CL-TASAKI2020-1336	1	new_successor	CL-TASAKI2020-3435
SE-TASAKI2020-0009	CORPUS-NORMALIZATION-TASAKI2020-2026	CC-TASAKI2020-0010	CL-TASAKI2020-1336	2	new_successor	CL-TASAKI2020-3436
SE-TASAKI2020-0010	CORPUS-NORMALIZATION-TASAKI2020-2026	CC-TASAKI2020-0011	CL-TASAKI2020-1352	1	new_successor	CL-TASAKI2020-3437
SE-TASAKI2020-0011	CORPUS-NORMALIZATION-TASAKI2020-2026	CC-TASAKI2020-0011	CL-TASAKI2020-1352	2	new_successor	CL-TASAKI2020-3438
SE-TASAKI2020-0012	CORPUS-NORMALIZATION-TASAKI2020-2026	CC-TASAKI2020-0011	CL-TASAKI2020-1352	3	new_successor	CL-TASAKI2020-3439
SE-TASAKI2020-0013	CORPUS-NORMALIZATION-TASAKI2020-2026	CC-TASAKI2020-0011	CL-TASAKI2020-1352	4	new_successor	CL-TASAKI2020-3440
SE-TASAKI2020-0014	CORPUS-NORMALIZATION-TASAKI2020-2026	CC-TASAKI2020-0011	CL-TASAKI2020-1352	5	new_successor	CL-TASAKI2020-3441
SE-TASAKI2020-0015	CORPUS-NORMALIZATION-TASAKI2020-2026	CC-TASAKI2020-0012	CL-TASAKI2020-1523	1	new_successor	CL-TASAKI2020-3442
SE-TASAKI2020-0016	CORPUS-NORMALIZATION-TASAKI2020-2026	CC-TASAKI2020-0012	CL-TASAKI2020-1523	2	new_successor	CL-TASAKI2020-3443
SE-TASAKI2020-0017	CORPUS-NORMALIZATION-TASAKI2020-2026	CC-TASAKI2020-0013	CL-TASAKI2020-1573	1	new_successor	CL-TASAKI2020-3444
SE-TASAKI2020-0018	CORPUS-NORMALIZATION-TASAKI2020-2026	CC-TASAKI2020-0013	CL-TASAKI2020-1573	2	new_successor	CL-TASAKI2020-3445
SE-TASAKI2020-0019	CORPUS-NORMALIZATION-TASAKI2020-2026	CC-TASAKI2020-0016	CL-TASAKI2020-2107	1	existing_duplicate	CL-TASAKI2020-2105
SE-TASAKI2020-0020	CORPUS-NORMALIZATION-TASAKI2020-2026	CC-TASAKI2020-0016	CL-TASAKI2020-2107	2	new_successor	CL-TASAKI2020-3446
SE-TASAKI2020-0021	CORPUS-NORMALIZATION-TASAKI2020-2026	CC-TASAKI2020-0016	CL-TASAKI2020-2107	3	existing_duplicate	CL-TASAKI2020-2138
SE-TASAKI2020-0022	CORPUS-NORMALIZATION-TASAKI2020-2026	CC-TASAKI2020-0016	CL-TASAKI2020-2107	4	existing_duplicate	CL-TASAKI2020-2106
SE-TASAKI2020-0023	CORPUS-NORMALIZATION-TASAKI2020-2026	CC-TASAKI2020-0018	CL-TASAKI2020-2409	1	new_successor	CL-TASAKI2020-3447
