page_id	source_id	order_key	printed_page	pdf_page	section	page_kind	pass1	pass2	source_oid
PG-TASAKI2020-0001	TASAKI2020	000001	NONE	1	NONE	front_matter	complete	complete	25b34348711d911a2b1299226652453f9a914c20
PG-TASAKI2020-0002	TASAKI2020	000002	NONE	2	NONE	front_matter	complete	complete	ed8e6a0baca0b87e257a4171479850e09c523d35
PG-TASAKI2020-0003	TASAKI2020	000003	NONE	3	NONE	front_matter	complete	complete	22d41ffccb90c4964c226392c7531644905ec8e0
PG-TASAKI2020-0004	TASAKI2020	000004	NONE	4	NONE	front_matter	complete	complete	cb02edb73920c1a1f57deb0428a69a6a29b39e02
PG-TASAKI2020-0005	TASAKI2020	000005	NONE	5	NONE	front_matter	complete	complete	864793389632cd7d57fd92586d1a1f860a987efd
PG-TASAKI2020-0006	TASAKI2020	000006	NONE	6	NONE	front_matter	complete	complete	71cba1aa82a02e8b3a55234622bba29b4c43c1d3
PG-TASAKI2020-0007	TASAKI2020	000007	vii	7	Preface	front_matter	complete	complete	759f622939daf2b55191cc8db194a98f494a06ff
PG-TASAKI2020-0008	TASAKI2020	000008	viii	8	Preface	front_matter	complete	complete	e9c4db00556cb0aaefe948a5b683cf9da8a0890a
PG-TASAKI2020-0009	TASAKI2020	000009	ix	9	Preface	front_matter	complete	complete	c09bbcd284be6afe74bd9c94132b755b77c009a1
PG-TASAKI2020-0010	TASAKI2020	000010	xi	10	Contents	front_matter	complete	complete	30615035a826eedc08a2228829064ffcbb70da31
PG-TASAKI2020-0011	TASAKI2020	000011	xii	11	Contents	front_matter	complete	complete	c82a86c889a2e0da6b3981ee040042a11f3ef7e1
PG-TASAKI2020-0012	TASAKI2020	000012	xiii	12	Contents	front_matter	complete	complete	1e26f208064f501e5bb8da4c2fcbd122176d0b1b
PG-TASAKI2020-0013	TASAKI2020	000013	xiv	13	Contents	front_matter	complete	complete	e202ebedea3daf765a663dd59bb8f8a63f254a1a
PG-TASAKI2020-0014	TASAKI2020	000014	xv	14	Contents	front_matter	complete	complete	7270ae84a1e20e133c149ffa76f39353b8d8f29f
PG-TASAKI2020-0015	TASAKI2020	000015	xvii	15	Symbols	front_matter	complete	complete	fa7abfe3cf3b8fbe20da2d35b51dd21547cab2fa
PG-TASAKI2020-0016	TASAKI2020	000016	xviii	16	Symbols	front_matter	complete	complete	831b927be1b27016a2270fea8b08d2e41bc692a4
PG-TASAKI2020-0017	TASAKI2020	000017	1	17	NONE	content	complete	complete	5f6eaff14dea6d45e7b7f949d4c770f53b4c6115
PG-TASAKI2020-0018	TASAKI2020	000018	2	18	§1.1	content	complete	complete	e3ae6d0936814ccdf5a2db122fdd650463dba1e3
PG-TASAKI2020-0019	TASAKI2020	000019	3	19	§1.1	content	complete	complete	29dad6d052f2c1a45c615e968754b911a9580c54
PG-TASAKI2020-0020	TASAKI2020	000020	4	20	§1.1	content	complete	complete	5e850e7786884eceb4f0074e10cfc871bfc8a95b
PG-TASAKI2020-0021	TASAKI2020	000021	5	21	§1.2	content	complete	complete	06934b5c29ee88f73b8d65693559516284fe3f35
PG-TASAKI2020-0022	TASAKI2020	000022	6	22	§1.2	content	complete	complete	759545e8fa8caa16a51606fbf6ac29f9654c2339
PG-TASAKI2020-0023	TASAKI2020	000023	7	23	§1.2	content	complete	complete	84172ecfcaae0a6c6b062f026ea66c98b75c8b80
PG-TASAKI2020-0024	TASAKI2020	000024	8	24	§1.2	content	complete	complete	4f83e2e0035a1fa524a5b6c8825097f93daca136
PG-TASAKI2020-0025	TASAKI2020	000025	9	25	§1.2	content	complete	complete	68f9fc09187cb951cbe14dbb15ebd5fd71d92832
PG-TASAKI2020-0026	TASAKI2020	000026	10	26	References	content	complete	complete	98b58d1bb1e1ca74deca1fb912ce9459dffbcd5b
PG-TASAKI2020-0027	TASAKI2020	000027	11	27	References	content	complete	complete	7516f59619fc33ff31ed451a6c7f75b22dd9ea59
PG-TASAKI2020-0028	TASAKI2020	000028	13	28	NONE	content	complete	complete	23d27997beb200229966b0bf5c05f35e5444b2dc
PG-TASAKI2020-0029	TASAKI2020	000029	14	29	§2.1	content	complete	complete	0eaf88e2085462f09a86550dd06f9359bd1c8dde
PG-TASAKI2020-0030	TASAKI2020	000030	15	30	§2.1	content	complete	complete	b1cd8f1e3fc3fa675128b70f2a776335cd062a58
PG-TASAKI2020-0031	TASAKI2020	000031	16	31	§2.1	content	complete	complete	f747d15287b609fb55923ba4c33ce76151850269
PG-TASAKI2020-0032	TASAKI2020	000032	17	32	§2.1	content	complete	complete	1aa1eb13278c295e6a1c57ae43adc9d727647909
PG-TASAKI2020-0033	TASAKI2020	000033	18	33	§2.1	content	complete	complete	5d28b7f6ace1aceecd43f84c83f8e1121a68c196
PG-TASAKI2020-0034	TASAKI2020	000034	19	34	§2.1	content	complete	complete	ca8bb65ff3994fb7bbc7de7954c98b047f2a11f6
PG-TASAKI2020-0035	TASAKI2020	000035	20	35	§2.1	content	complete	complete	5295feb2d188d556489f3885c105645014d13916
PG-TASAKI2020-0036	TASAKI2020	000036	21	36	§2.2	content	complete	complete	c9c4f2f7cbd88ff607470c91034ea27728f431d3
PG-TASAKI2020-0037	TASAKI2020	000037	22	37	§2.2	content	complete	complete	f8ef2119f5447a1c6805404426d4b6e25249e564
PG-TASAKI2020-0038	TASAKI2020	000038	23	38	§2.2	content	complete	complete	15ce2ff9f5aba4d4cc60ed926f244a702cc93124
PG-TASAKI2020-0039	TASAKI2020	000039	24	39	§2.2	content	complete	complete	a00f8ee5926b74d68daf7762e2f52156607895a5
PG-TASAKI2020-0040	TASAKI2020	000040	25	40	§2.2	content	complete	complete	2149d6ba84c92dab0f5b7aa72949ee0e6a58dc3e
PG-TASAKI2020-0041	TASAKI2020	000041	26	41	§2.3	content	complete	complete	fdad7b67a47824bbb02da4e086cb6cefba2feb7f
PG-TASAKI2020-0042	TASAKI2020	000042	27	42	§2.3	content	complete	complete	73befe5c7ec55e210d3aac2c617a32a72ad1f19b
PG-TASAKI2020-0043	TASAKI2020	000043	28	43	§2.3	content	complete	complete	9fc420cb0c748c4377b4b218996075a324687141
PG-TASAKI2020-0044	TASAKI2020	000044	29	44	§2.3	content	complete	complete	c6e421b6fd4de6828ff8290162bf6957202f6314
PG-TASAKI2020-0045	TASAKI2020	000045	30	45	§2.3	content	complete	complete	669accf79f17889aeda5063ec57952ea041d0c79
PG-TASAKI2020-0046	TASAKI2020	000046	31	46	§2.3	content	complete	complete	84483494c2a6ea46d83235a0395a4bd2dbabd718
PG-TASAKI2020-0047	TASAKI2020	000047	32	47	§2.4	content	complete	complete	3f6c257ed5dd0b6aa5fee8ba6a55ba39d99cca6f
PG-TASAKI2020-0048	TASAKI2020	000048	33	48	§2.4	content	complete	complete	81756c6a64208adab14d05903072fc429484df43
PG-TASAKI2020-0049	TASAKI2020	000049	34	49	§2.4	content	complete	complete	c9de44055a59566ab1fa5d64189b322458ada445
