item_id	source_id	order_key	page_id	item_kind	source_label	title	locator	public_group	public_slug	review_ref
IT-TASAKI2020-0001	TASAKI2020	000015.0001	PG-TASAKI2020-0015	unlabeled	NONE	NONE	PDF p. 15; print p. xvii; Symbols; visible Symbols bullet 1	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0002	TASAKI2020	000015.0002	PG-TASAKI2020-0015	unlabeled	NONE	NONE	PDF p. 15; print p. xvii; Symbols; visible Symbols bullet 2	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0003	TASAKI2020	000015.0003	PG-TASAKI2020-0015	unlabeled	NONE	NONE	PDF p. 15; print p. xvii; Symbols; visible Symbols bullet 3	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0004	TASAKI2020	000015.0004	PG-TASAKI2020-0015	unlabeled	NONE	NONE	PDF p. 15; print p. xvii; Symbols; visible Symbols bullet 4	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0005	TASAKI2020	000015.0005	PG-TASAKI2020-0015	unlabeled	NONE	NONE	PDF p. 15; print p. xvii; Symbols; visible Symbols bullet 5	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0006	TASAKI2020	000015.0006	PG-TASAKI2020-0015	unlabeled	NONE	NONE	PDF p. 15; print p. xvii; Symbols; visible Symbols bullet 6	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0007	TASAKI2020	000015.0007	PG-TASAKI2020-0015	unlabeled	NONE	NONE	PDF p. 15; print p. xvii; Symbols; visible Symbols bullet 7	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0008	TASAKI2020	000015.0008	PG-TASAKI2020-0015	unlabeled	NONE	NONE	PDF p. 15; print p. xvii; Symbols; visible Symbols bullet 8	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0009	TASAKI2020	000015.0009	PG-TASAKI2020-0015	unlabeled	NONE	NONE	PDF p. 15; print p. xvii; Symbols; visible Symbols bullet 9	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0010	TASAKI2020	000015.0010	PG-TASAKI2020-0015	unlabeled	NONE	NONE	PDF p. 15; print p. xvii; Symbols; visible Symbols bullet 10	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0011	TASAKI2020	000015.0011	PG-TASAKI2020-0015	unlabeled	NONE	NONE	PDF p. 15; print p. xvii; Symbols; visible Symbols bullet 11	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0012	TASAKI2020	000016.0001	PG-TASAKI2020-0016	unlabeled	NONE	NONE	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 1	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0013	TASAKI2020	000016.0002	PG-TASAKI2020-0016	unlabeled	NONE	NONE	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 2	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0014	TASAKI2020	000016.0003	PG-TASAKI2020-0016	unlabeled	NONE	NONE	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 3	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0015	TASAKI2020	000016.0004	PG-TASAKI2020-0016	unlabeled	NONE	NONE	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 4	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0016	TASAKI2020	000016.0005	PG-TASAKI2020-0016	unlabeled	NONE	NONE	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 5	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0017	TASAKI2020	000016.0006	PG-TASAKI2020-0016	unlabeled	NONE	NONE	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 6	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0018	TASAKI2020	000016.0007	PG-TASAKI2020-0016	unlabeled	NONE	NONE	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 7	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0019	TASAKI2020	000016.0008	PG-TASAKI2020-0016	unlabeled	NONE	NONE	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 8	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0020	TASAKI2020	000016.0009	PG-TASAKI2020-0016	unlabeled	NONE	NONE	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 9	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0021	TASAKI2020	000016.0010	PG-TASAKI2020-0016	unlabeled	NONE	NONE	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 10	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0022	TASAKI2020	000016.0011	PG-TASAKI2020-0016	unlabeled	NONE	NONE	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 11	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0023	TASAKI2020	000016.0012	PG-TASAKI2020-0016	unlabeled	NONE	NONE	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 12	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0024	TASAKI2020	000016.0013	PG-TASAKI2020-0016	unlabeled	NONE	NONE	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 13	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0025	TASAKI2020	000016.0014	PG-TASAKI2020-0016	unlabeled	NONE	NONE	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 14	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0026	TASAKI2020	000016.0015	PG-TASAKI2020-0016	unlabeled	NONE	NONE	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 15	Front matter	front-matter	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0027	TASAKI2020	000020.0001	PG-TASAKI2020-0020	equation	equation (1.2.1)	NONE	PDF p. 20; print p. 4; §1.2; equation (1.2.1)	Chapter 01	chapter-01	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0028	TASAKI2020	000020.0002	PG-TASAKI2020-0020	unlabeled	NONE	NONE	PDF p. 20; print p. 4; §1.2; paragraph 5	Chapter 01	chapter-01	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0029	TASAKI2020	000020.0003	PG-TASAKI2020-0020	equation	equation (1.2.2)	NONE	PDF p. 20; print p. 4; §1.2; equation (1.2.2)	Chapter 01	chapter-01	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0030	TASAKI2020	000020.0004	PG-TASAKI2020-0020	unlabeled	NONE	NONE	PDF p. 20; print p. 4; §1.2; paragraph 6; audit split atom 1/3	Chapter 01	chapter-01	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0031	TASAKI2020	000020.0005	PG-TASAKI2020-0020	unlabeled	NONE	NONE	PDF p. 20; print p. 4; §1.2; paragraph 6; audit split atom 2/3	Chapter 01	chapter-01	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0032	TASAKI2020	000020.0006	PG-TASAKI2020-0020	unlabeled	NONE	NONE	PDF p. 20; print p. 4; §1.2; paragraph 6; audit split atom 3/3	Chapter 01	chapter-01	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0033	TASAKI2020	000021.0001	PG-TASAKI2020-0021	equation	equation (1.2.3)	NONE	PDF p. 21; print p. 5; §1.2; equation (1.2.3)	Chapter 01	chapter-01	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0034	TASAKI2020	000021.0002	PG-TASAKI2020-0021	equation	equation (1.2.4)	NONE	PDF p. 21; print p. 5; §1.2; equation (1.2.4)	Chapter 01	chapter-01	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0035	TASAKI2020	000022.0001	PG-TASAKI2020-0022	unlabeled	NONE	NONE	PDF p. 22; print p. 6; §1.2; paragraph 2	Chapter 01	chapter-01	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0036	TASAKI2020	000023.0001	PG-TASAKI2020-0023	unlabeled	NONE	NONE	PDF p. 23; print p. 7; §1.2; paragraph 1	Chapter 01	chapter-01	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0037	TASAKI2020	000023.0004	PG-TASAKI2020-0023	unlabeled	NONE	NONE	PDF p. 23; print p. 7; §1.2; paragraph 2	Chapter 01	chapter-01	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0038	TASAKI2020	000023.0005	PG-TASAKI2020-0023	unlabeled	NONE	NONE	PDF p. 23; print p. 7; §1.2; paragraph 2; audit split atom 4/15	Chapter 01	chapter-01	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0039	TASAKI2020	000023.0006	PG-TASAKI2020-0023	equation	equation (1.2.5)	NONE	PDF p. 23; print p. 7; §1.2; equation (1.2.5)	Chapter 01	chapter-01	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0040	TASAKI2020	000023.0007	PG-TASAKI2020-0023	unlabeled	NONE	NONE	PDF p. 23; print p. 7; §1.2; paragraph 2; audit split atom 5/15	Chapter 01	chapter-01	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
IT-TASAKI2020-0041	TASAKI2020	000023.0008	PG-TASAKI2020-0023	unlabeled	NONE	NONE	PDF p. 23; print p. 7; §1.2; paragraph 2; atom 1	Chapter 01	chapter-01	PUBLIC-DOCS-SOURCE-ITEM-REVIEW-V1
